DOCUMENT_TITLE,SECTION_TITLE,SECTION_TEXT
ANÁLISIS DEL CAMBIO DE PROPIEDADES FÍSICAS DE ESCORIA DE COBRE TRAS UNA TRANSFORMACION DE ESCORIA FAYALÍTICA A PSEUDO-OLIVÍNICA,1. CAPITULO I: INTRODUCCION,"Desde tiempos muy antiguos, a nivel mundial, la forma de producir cobre es a través de la pirometalurgia.
Este proceso permite obtener ánodos de cobre, sin embargo esta vía genera un subproducto que se acumula por años, las escorias; las cuales son generadas a razón de 2,2 toneladas por cada tonelada de cobre producido llegando a generarse a nivel nacional 4,5 millones de escoria por año.
Este subproducto, comúnmente se dispone en escoriales y permanece allí por largo tiempo como pasivo ambiental, el cual con el paso de los años y su gran acumulación comienza a despertar un malestar visual en las comunidades.
A la vez, este subproducto llamado escoria encapsula especies de interés que lo hace atractivo para iniciar una apuesta que permita recuperar estas especies y ponerlas en valor y junto con ello ahorrar recursos de metal.
En lo netamente económico, procesar estos pasivos industriales permitirá obtener beneficios de algo que ya se creía sin un mayor valor económico; generando así un aporte adicional a la economía del país.
Actualmente las escorias son utilizadas en áreas de construcción y pavimentación, netamente como materia prima para la producción de cementos fortificados, áridos y gravilla.
Esto ya que presentan un marcado carácter vítreo que las hace difíciles de procesar al presentar refractariedad a ciertos procesos de recuperación de metales en ellas contenidos.
Sin embargo, hoy en día son sometidas a ciertos procesos para recuperar el contenido de valor.
Los procesos más usados son chancado, molienda, separación magnética, flotación, lixiviación y tostación de escorias, lo que permite recuperar metales tales como Fe, Cr, Cu, Al, Pb, Zn, Co, Ni, Nb, Ta, Au y Ag.
Pero los procesos de conminución, como es sabido, son procesos costosos dado el alto consumo energético que conlleva el funcionamiento de chancadores y molinos.
A su vez, el proceso de flotación también incurre en altos consumos de agua.
Esto despierta la búsqueda de un método que permita saltar etapas y abaratar costos de tratamiento de las escorias para lograr recuperar las especies de valor encapsuladas en ellas.
Todo lo anterior, conlleva a proponer un método para modificar las características vítreas de las escorias al salir del proceso pirometalúrgico, ya que esta podría ser la vía para saltar las etapas antes mencionadas y llegar a un tratamiento de lixiviación posterior que permita recuperar los metales contenidos en las escorias; abaratando costos de procesamiento y reduciendo la huella ambiental marcada en la madre naturaleza."
ANÁLISIS DEL CAMBIO DE PROPIEDADES FÍSICAS DE ESCORIA DE COBRE TRAS UNA TRANSFORMACION DE ESCORIA FAYALÍTICA A PSEUDO-OLIVÍNICA,1.1. 1.1 Hipótesis,"Debido a que elementos como Ca, Na y K modifican la estructura de escorias vítreas, es posible la transformación de escorias tipo fayalíticas a escorias pseudo-olivínicas, mediante una fusión alcalina en base a la correcta dosificación de estos elemento en forma de carbonato, disminuyendo con ello su refractariedad a la disolución ácida."
ANÁLISIS DEL CAMBIO DE PROPIEDADES FÍSICAS DE ESCORIA DE COBRE TRAS UNA TRANSFORMACION DE ESCORIA FAYALÍTICA A PSEUDO-OLIVÍNICA,1.2. 1.2 Objetivo General,Analizar el cambio de propiedades físicas de una escoria de cobre tras una transformación de escoria fayalítica a pseudo-olivínica.
ANÁLISIS DEL CAMBIO DE PROPIEDADES FÍSICAS DE ESCORIA DE COBRE TRAS UNA TRANSFORMACION DE ESCORIA FAYALÍTICA A PSEUDO-OLIVÍNICA,1.3. 1.3 Objetivos Específicos," Establecer dosificación de agente modificador de estructura para lograr sistema olivínico.
 Modelar el cambio de viscosidad de escoria fayalítica al adicionar un modificador alcalino de estructura de escoria.
 Modelar la temperatura ponderada de fusión de la escoria para lograr la transformación de escoria fayalítica a pseudo-olivínica.
 Proponer condiciones experimentales que permitirán la validación de la modelación termodinámica para trabajos experimentales futuros a partir de los resultados obtenidos."
ANÁLISIS DEL CAMBIO DE PROPIEDADES FÍSICAS DE ESCORIA DE COBRE TRAS UNA TRANSFORMACION DE ESCORIA FAYALÍTICA A PSEUDO-OLIVÍNICA,2. CAPITULO II: ANTECEDENTES Y MARCO TEORICO,
ANÁLISIS DEL CAMBIO DE PROPIEDADES FÍSICAS DE ESCORIA DE COBRE TRAS UNA TRANSFORMACION DE ESCORIA FAYALÍTICA A PSEUDO-OLIVÍNICA,2.1. 2.1 Aspectos generales de las Escorias de Cobre,
ANÁLISIS DEL CAMBIO DE PROPIEDADES FÍSICAS DE ESCORIA DE COBRE TRAS UNA TRANSFORMACION DE ESCORIA FAYALÍTICA A PSEUDO-OLIVÍNICA,2.1.1. 2.1.1 Origen de las Escorias,"Las escorias de cobre son un residuo que se produce tras llevar a cabo un proceso pirometalúrgico para obtener cobre desde un concentrado de minerales sulfurados.
Dicho proceso consiste en fases o etapas consecutivas de secado, fusión, conversión y refinación (ver Figura 1) a través de los cuales se busca extraer el metal de interés (cobre) desde el concentrado, eliminar la ganga presente y purificar el metal de interés.
Las etapas pirometalúrgicas mencionadas se realizan en hornos de lecho fluidizado o secador rotatorio, hornos de fusión, pudiendo ser horno flash u horno convertidor teniente, hornos de conversión como los Pierce Smith y hornos de refino a fuego.
En la etapa de fusión se producen dos fases líquidas separables o inmiscibles: la mata rica en cobre y la escoria.
La mata, según su contenido de cobre, continúa luego en el proceso de refinación, mientras que la escoria fundida se descarga directamente o pasa a procesos de recuperación de cobre.
En conversión se produce cobre blíster el cual tiene un mayor contenido de cobre, este sigue en el proceso de refinación.
Las escorias producidas en estas etapas, debido al contenido de cobre que poseen, son enviadas a hornos de limpieza de escoria (HLE) en los que se lleva a cabo un proceso de recuperación de cobre; el cual es recuperado como eje o mata con un contenido de cobre de entre 50% y 70% y retornado a la etapa de fusión.
Además, desde esta fase de limpieza se obtiene una escoria que va a botadero y que tiene un contenido de cobre de entre 0,7% y 1%.
[1] y [2]
Figura 1: Proceso de producción pirometalúrgica de Cobre.
[3]
En este proceso las escorias que se producen lo hacen a partir de óxidos contenidos en la carga de los hornos de fusión y de los óxidos de hierro que se producen por la oxidación durante el procesamiento pirometalúrgico; cuya naturaleza y proporción en la escoria dependerá de la naturaleza de los minerales, los concentrados, los fundentes y de las condiciones de operación de los equipos en las distintas etapas.
Ahondando en la secuencia anterior, lo que ocurre en cuanto a los componentes del concentrado, es decir los óxidos y los sulfuros, es que estos se combinan covalentemente para formar una fase Cu/Fe/O/S en ausencia de sílice.
Pero al realizar la fusión del concentrado entra en proceso sílice como fundente; la cual se combina con los óxidos presentes formando aniones de silicato fuertemente unidos por puentes de oxígeno que dan lugar a la formación de la fase escoria.
En este proceso también se agrega cal y alúmina, componentes que permiten estabilizar la estructura de la escoria.
[4] Una vez que las escorias pasan por la etapa de limpieza son llevadas a botadero donde son sometidas a un enfriamiento natural en el lugar; formando un producto cristalino denso y duro.
Pero si la escoria es enfriada rápidamente al verterla en agua se obtiene una escoria granulada amorfa.
Comúnmente la escoria de cobre es una especie de matriz de vidrio de silicato de hierro impuro con pequeñas inclusiones de sulfuros y óxidos de cobre que quedaron atrapados en la escoria durante el proceso, ya sea por atrapamiento mecánico y/o químico.
También se pueden encontrar fayalita y otras especies como Cr-Spinel (ver Figura 2).
Estudios recientes sobre la mineralogía de la escoria de cobre indican que el cobre está presente en la fase vítrea y que un 0,81% en peso del cobre contenido en la escoria esta como sulfuro, mientras que un 0,15% en peso del cobre esta como oxido.
En esta fase vítrea no solo hay cobre, sino que también especies de interés como Fe, Al, K, Mg entre otros (ver Tabla 1).
Además esta fase vítrea constituye un 85,18% de la escoria, por lo que poder modificar esta fase donde se encuentran las especies de interés resultaría de gran importancia para poder recuperar las especies que ella contiene.
[5]
Figura 2: Imagen SEM que muestra componentes minerales detectados en escoria de horno flash Outokumpu en diferentes regiones.
[5]
Tabla 1: Mineralogía para escoria de cobre determinada por QEMSCAN BMA. [5]
Mineral
Fórmula aproximada
Abundancia aproximada (%)
Fase vítrea (Al–Ca–Cu–Fe–K–Mg–Na–O–S–Si) 85,18
Fayalita (Mg, Fe)2 SiO4 12,85
Cromita FeCr2O4 0.90
Sulfuro CuxSy 1,05
TOTAL 100,00
Cabe destacar que las escorias hoy se producen a razón de 2,2 toneladas por cada tonelada de cobre producido, alcanzado una acumulación anual en Chile de 4,5 millones de toneladas; se estima que el país posee un volumen histórico de escorias que bordea los 50 millones de toneladas.
A escala mundial anualmente se generan alrededor de 24,6 millones de toneladas de escoria, sin embargo la mayor parte de estas se vierte en botaderos sin reciclaje apropiado.
[1] y [4]"
ANÁLISIS DEL CAMBIO DE PROPIEDADES FÍSICAS DE ESCORIA DE COBRE TRAS UNA TRANSFORMACION DE ESCORIA FAYALÍTICA A PSEUDO-OLIVÍNICA,2.1.2. 2.1.2 Características físico-químicas de las Escorias,"Las escorias de cobre poseen características que las distinguen de otros residuos sólidos, pero que sin embargo son semejantes o transversales a las escorias producidas por diferentes tecnologías (ver Tabla 2).
Dentro de las características que las distinguen están su color, textura y estructura cristalina/amorfa, siendo esta última la que las distingue mayormente de otros residuos.
Además de ello, existen características que vienen dadas por la forma y tiempo de enfriamiento, como por ejemplo el tamaño de partícula; o la materia prima y las tecnologías utilizadas en el proceso pirometalúrgico.
Tabla 2: Principales características físicas de escorias de cobre.
Apariencia
 | Forma de partículas | Irregulares con bordes agudos
 | Densidad [kg/m3] | 3160 – 3870
 | Absorción de agua (%) | 0,15 – 0,55
 | Dureza | 4
–
6 De color negro, textura lisa para escorias de botadero y porosa para escorias granalladas Variada, según su formación puede ir desde 4” hasta material fino menor a 0,08 [mm]

Granulometría
Además de las características antes mencionadas, existe una propiedad de las escorias que es de alta relevancia en los procesos de reducción y afino de metales pero, generalmente, difícil de poder determinar.
Esta propiedad, que en los procesos pirometalúrgicos actúa como una variable, es la viscosidad; propiedad que tiene una fuerte dependencia de la temperatura, pero que en general presenta un comportamiento que sigue la ley de Arrhenius de la viscosidad con relación a la temperatura.
A parte de la dependencia de la temperatura, distintos estudios han mostrado que la viscosidad también se ve fuertemente influida por la composición de las escorias.
Lo cual ha llevado a desarrollar modelos que permiten determinar la viscosidad de escorias con contenidos de componentes ácidos y básicos.
Uno de los componentes de las escorias que tiene una incidencia tanto en la viscosidad como en la estructura de las escorias es el SiO2, cuyo contenido en la escoria puede hacer que la viscosidad aumente o disminuya.
Es así como para rangos de SiO2 de 0-30% la viscosidad de la escoria aumenta y para contenidos de SiO2 entre 30-40% la viscosidad se ve disminuida, mientras que para contenidos de SiO2 por encima del 40% la viscosidad de la escoria vuelve a aumentar.
[6] Cuando se lleva a la escoria desde una temperatura de alrededor de 1150[°C] a una temperatura menor de forma brusca, es decir, se somete a un enfriamiento rápido, la estructura de la escoria queda colapsada y es mayoritariamente amorfa y sus propiedades serán las de un material altamente reactivo.
En cambio, si el enfriamiento es lento, tenemos menor cantidad de estructura amorfa, predominando estructuras cristalinas impidiendo la formación de nuevos enlaces.
[7] Respecto a la composición de las escorias, anteriormente se ha mencionado que estas se forman a partir de óxidos contenidos en la carga de los hornos de fusión y de los óxidos de hierro que se producen por la oxidación durante el procesamiento pirometalúrgico; óxidos que dependen de factores como la naturaleza de la materia prima, las condiciones de operación de las diferentes tecnologías, de los fundentes agregados al proceso, entre otros.
Esto a su vez incide en la cantidad o porcentaje presente de ellos en las escorias, encontrándose comúnmente una proporción como la siguiente:
Óxidos de hierro (FeO, Fe3O4) de 30 – 40 %
Óxidos de silicio (SiO2) de 35 – 40 %
Óxidos de aluminio (Al2O3) hasta 10 %
Óxido de calcio (CaO) hasta 10 % El alto porcentaje de óxidos de hierro y sílice provenientes de los procesos de fusiónconversión de los sulfuros de cobre y las condiciones de temperatura y presión parcial de O2 de estos procesos, sitúan a la región líquidus de operación cerca de la zona donde es estable el compuesto 2FeOSiO2 (Fayalita) (ver Figura 3); cuya presencia en la escoria hace que esta tenga alta viscosidad, baja conductividad eléctrica, atrape más cobre y que al solidificar forme redes cristalinas de silicatos.
Esto último, le confiere las características vítreas a la escoria y por consiguiente una mayor refractariedad a disolución acida.
Figura 3: Diagrama de fases ternario FeO-Fe2O3-SiO2.
En las escorias, además de Fayalita, también hay formación de especies como magnetita, óxidos de calcio-aluminio (CaAl2O4), silicatos de zinc ((Zn2SiO4) y óxidos de cobre-hierro (CuFe2O4).
[1]
Las redes de silicatos están conformadas por una unidad básica: tetraedros de SiO4 (-4) (ver Figura 4); la unión de estas estructuras básicas mediante puentes de oxígeno (Si – O), le confiere una gran estabilidad a la red, ya sea en estado sólido o fundido, gracias al enlace covalente entre ellos y la estructura polimerizada que se forma en presencia de óxidos ácidos como sílice (SiO2) y alúmina (Al2O3) (ver Figura 5), dificultando así el rompimiento de enlaces por agentes lixiviantes.
Figura 4: (a) Tetraedro SiO4 (-4) completo, (b) tetraedro con átomo superior de oxígeno retirado, (c) vista lateral.
Figura 5: (a) Estructura sílice sólida, (b) estructura sílice fundida.
Según la composición química de la escoria de cobre de la fundición Hernán Videla Lira, las escorias presentan un contenido significativo de especies de interés como hierro, cobre, aluminio, calcio, cromo, plomo, zinc, plata, oro, entre otros que se muestran en la Tabla 3; los cuales son de gran importancia a nivel industrial y que de poder ser recuperados de una forma económica e introducidos nuevamente al proceso productivo se podría producir un aporte adicional a la economía nacional.
Tabla 3: Composición química de la escoria de cobre de la fundición Hernán Videla Lira.
Cu Ag Au Cr2O3 Fe(total) Fe3O4 SiO2 Al2O3 CaO MgO S Cl Sb As Pb
 | (%) | (g/t) | (g/t) | (%) | (%) | (%) | (%) | (%) | (%) | (%) | (%) | (%) | (%) | (%) | (%)
 | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | ---
 | 0,75 | 1,83 | 0,20 | 0,05 | 41,45 | 5,14 | 27,89 | 2,91 | 2,10 | 0,88 | 1,01 | 0,12 | 0,01 | 0,01 | 0,11

Si bien en la Tabla 3 se cuantifica la ley de cobre en la escoria, este metal se encuentra presente en el residuo industrial como óxido de cobre, sulfuro de cobre o cobre metálico, predominando la presencia de cobre como sulfuro dependiendo de la tecnología de fundición de concentrado utilizada y de los parámetros operacionales de estas.
Sin embargo, dependiendo también de la operación, pudiese ser que el cobre se sobre oxide y exista en la escoria una mayor cantidad de óxido de cobre.
En la Tabla 3 se puede ver también que la ley de cobre en esta escoria supera la ley de cobre promedio de los yacimientos del país; hecho que se vuelve contraproducente y levanta la necesidad de tratar las escorias para lograr recuperar el cobre que se pierde en ellas.
Sin embargo, hay tipos de escorias con características distintas a las antes mencionadas, las que por su constitución y orden cristalográfico obtenido mediante procesos como el granallado permitirían a las escorias ser lixiviables y poder recuperar las especies de interés contenidas en ellas.
Estas escorias son las olivínicas, escorias del tipo calcio ferríticas, las cuales tienen baja solubilidad para cobre y son generadas tras adicionar CaO al baño fundido, logrando que el equilibrio se traslade hacia la formación de escoria olivínica."
ANÁLISIS DEL CAMBIO DE PROPIEDADES FÍSICAS DE ESCORIA DE COBRE TRAS UNA TRANSFORMACION DE ESCORIA FAYALÍTICA A PSEUDO-OLIVÍNICA,2.1.3. 2.1.3 Clasificación de las Escorias,"Las escorias pueden ser clasificadas a partir del contenido o grado de silicatos y del tiempo de enfriamiento:
 Según contenido o grado de silicatos:
Las escorias pueden ser ácidas, neutras o básicas dependiendo del índice de silicatación y del grado de saturación de estas.
El primero depende netamente del contenido de oxígeno de la porción de sílice que forma la escoria, y el contenido en oxigeno de la porción de todos los otros óxidos que la forman.
Mientras que el segundo depende de la razón entre el número total de gr/mol de los componentes básicos (CaO-MgO-MnO-FeO) y el número de gr/mol de los componentes ácidos (incluso Al2O3).
[7] De acuerdo con lo anterior, si el índice de silicatación es igual a uno la escoria se clasifica como neutra, si es mayor que uno es ácida y si es menor a uno será básica; tal como lo indica la Figura 6.
Figura 6: Tipos de escoria según el grado de silicato.
Para el caso del grado de saturación de escorias, si es igual a uno la escoria es neutra, si es mayor a uno es básica y si es menor que uno la escoria es ácida.
Tener conocimiento del tipo de escoria que se está trabajando es importante a la hora de hacerlas reaccionar con algún compuesto químico, puesto que el resultado dependerá de si la escoria es ácida o básica.
Para el caso de estudio, de concretarse la transformación de escoria fayalítica a pseudo-olivínica, la escoria debería ser del tipo básica con estructuras moleculares de tetraedros de silicatos.
 Según tiempo de enfriamiento: Anteriormente se ha dicho que el tiempo de enfriamiento determina la estructura de las escorias, la cual puede ser mayormente amorfa si el tiempo de enfriamiento es corto o bien mayormente cristalina si el tiempo de enfriamiento es largo.
Esto a su vez incide en el poder de reactividad de la escoria, ya que se ha encontrado que la estructura amorfa es donde reside el componente hidráulicamente activo de la escoria.
[1] De acuerdo con esto, se puede encontrar los siguientes tipos de escoria:
o Escoria granallada: se obtiene de pasar la escoria desde una alta temperatura (1150[°C]) a una temperatura cercana a los 100[°C] en el menor tiempo posible.
Esto se lleva a cabo en un pozo de granulación o granallador donde se pone en contacto la escoria a alta temperatura con agua a temperatura ambiente.
En este punto no ocurren reacciones químicas, pero si ocurren cambios físicos y mecánicos que le confieren a la escoria la estructura amorfa; estructura que provee a la escoria de cobre una mayor porosidad, aumentando la absorción de agua y una menor masa por unidad de volumen.
o Escoria de botadero: se obtiene netamente de verter la escoria en una cancha de escoria o escorial y esperar que esta se enfríe lentamente al aire hasta alcanzar temperatura ambiente.
El largo tiempo que toma este enfriamiento permite que la escoria desarrolle una estructura cristalina, lo que reduce la porosidad de ella limitando consigo la reactividad de la escoria en un proceso posterior.
Además, estudios anteriores han mostrado que el porcentaje de absorción de agua es menor y la densidad de estas escorias es mayor respecto a las escorias granalladas.
o Escoria expandida: se obtiene mediante un rápido enfriamiento y su expansión se logra mediante la aplicación controlada de agua, aire y vapor.
Esto produce una escoria de naturaleza vesicular y más ligera."
ANÁLISIS DEL CAMBIO DE PROPIEDADES FÍSICAS DE ESCORIA DE COBRE TRAS UNA TRANSFORMACION DE ESCORIA FAYALÍTICA A PSEUDO-OLIVÍNICA,2.1.4. 2.1.4 Usos de las Escorias,"Las escorias de cobre tienen un contenido de especies valiosas que en ocasiones suelen ser recuperadas mediante procesos de flotación para luego reincorporar estas especies al proceso productivo del cobre, pero esto involucra etapas de alto consumo energético y de recursos hídricos.
Por ello, actualmente las escorias de cobre son acumuladas en vertederos donde permanecen ocupando grandes extensiones de superficie de terreno como pasivos ambientales.
Sin embargo, en los últimos años ha despertado un creciente interés en distintos sectores asociados a la fabricación de materiales de construcción, por el uso de las escorias como:
 sustituto parcial del cemento hidráulico
 gravilla para líneas de ferrocarriles
 árido en mezclas asfálticas de obras viales
 árido constituyente de los morteros y hormigones de cemento
 abrasivo en la limpieza por chorro de arena de estructuras metálicas
 albañilerías de bloques de escoria moldeados
 material de reemplazo en forma parcial al cemento Portland
Del listado anterior se aprecia que las escorias de cobre son mayormente usadas en la elaboración de cemento y/o morteros, puesto que, según estudios previos, las escorias de cobre poseen propiedades cementosas que las hace atractivas en este rubro al conferirle al hormigón una mayor resistencia a la compresión, llegando a alcanzar valores de resistencia 34% más altos que los alcanzados por el hormigón convencional.
[3]
Este aumento en la resistencia de los hormigones, que incorporan escorias de cobre, viene dado por la modificación de la estructura vítrea de las escorias durante la elaboración del cemento mediante la adición de compuestos que poseen iones capaces de interrumpir los enlaces de puente de oxígeno en la red de silicatos; mejorando con esto la actividad puzolánica de ellas.
Uno de los compuestos adicionados es el CaO, cuyo contenido del catión alcalino Ca2+ (que se comporta como modificador de la red de silicatos), es favorable para la despolimerización de la red de los materiales vítreos como las escoria, lo que da como resultado una mayor reactividad de este tipo de materiales.
[8] Si bien el cobre en la naturaleza se encuentra asociado a otros minerales en forma de óxidos o sulfuros, una vez procesado el mineral concentrado de este metal mediante pirometalurgia, el cobre que no logra ser recuperado queda en la escoria y se encuentra en ella como óxido de cobre embebido en una matriz de óxidos de Fe-SiO2 o bien como sulfuro atrapado en esta matriz producto de la no coalescencia o decantación de pequeñas gotas de mata hacia la fase rica en cobre.
Este cobre de la escoria, junto con otros metales contenidos en ella, ha sido recuperado comúnmente mediante proceso de flotación.
Este proceso incluye etapas de conminución para bajar la granulometría de la escoria y lograr liberar el metal para recuperarlo mediante flotación.
Sin embargo, esta etapa de conminución implica consumo de energía y recursos hídricos (agua) altos; el consumo de energía asociado a la dureza de la escoria y a la granulometría a la que se debe llegar para poder flotar el cobre y obtener un concentrado y el consumo de recurso hídrico propio de la molienda.
Además de ello, está la necesidad de utilizar aditivos en la flotación, dígase espumantes y colectores, que encarecen el proceso.
En esta etapa también, el consumo del recurso hídrico es alto y primordial para el proceso, aun cuando se logra recuperar agua en etapas de espesamiento."
